view,frame,timestamp,image,track_id,class_id,class_name,score,x1,y1,x2,y2,filtered_x1,filtered_y1,filtered_x2,filtered_y2,association_status,source_detection_index,raw_label,mask_path,mask_score,cx,cy,depth_median,depth_weighted_mean,depth_iqr,conf_mean,x_cam,y_cam,z_cam,depth_source,depth_source_image_width,depth_source_image_height,depth_source_image_size_source
rear,0,1772699910213282000,data\camera\rear_camera\1772699910213282000.jpg,-1,2,car,0.45577,1217.0,589.0,1240.0,611.0,1217.0,589.0,1240.0,611.0,unassigned,8,VEHICLE_CAR,preprocessed/masks/rear_camera/masks/frame_000000_gt2d_008_track_-1_VEHICLE_CAR.png,0.8894956111907959,1228.5,600.0,57.01588439941406,55.360565185546875,5.748172760009766,1.0,7.841893237229163,-1.0889294651104326,57.01588439941406,da3_bbox_median,1920.0,1280.0,image_root
rear,0,1772699910213282000,data\camera\rear_camera\1772699910213282000.jpg,-1,3,motorcycle,0.418988,386.0,557.0,501.0,641.0,386.0,557.0,501.0,641.0,unassigned,9,MOTOR,preprocessed/masks/rear_camera/masks/frame_000000_gt2d_009_track_-1_MOTOR.png,0.8657225966453552,443.5,599.0,19.815282821655273,21.546478271484375,3.108509063720703,1.0029957294464111,-5.258390950542471,-0.3886166043867174,19.815282821655273,da3_bbox_median,1920.0,1280.0,image_root
rear,0,1772699910213282000,data\camera\rear_camera\1772699910213282000.jpg,2000000,2,car,0.869521,906.0,588.0,933.0,608.0,906.0,588.0,933.0,608.0,matched,0,VEHICLE_CAR,preprocessed/masks/rear_camera/masks/frame_000000_gt2d_000_track_-1_VEHICLE_CAR.png,0.9285252094268799,919.5,598.0,63.71672821044922,61.87942123413086,7.602909088134766,1.0,-1.3417876675303684,-1.282313408518115,63.71672821044922,da3_bbox_median,1920.0,1280.0,image_root
rear,0,1772699910213282000,data\camera\rear_camera\1772699910213282000.jpg,2000001,2,car,0.647467,1245.0,574.0,1300.0,615.0,1245.0,574.0,1300.0,615.0,matched,4,VEHICLE_SUV,preprocessed/masks/rear_camera/masks/frame_000000_gt2d_004_track_-1_VEHICLE_SUV.png,0.9263789057731628,1272.5,594.5,48.121315002441406,49.20708084106445,5.715484619140625,1.0,7.705290464439312,-1.0548978657806671,48.121315002441406,da3_bbox_median,1920.0,1280.0,image_root
rear,0,1772699910213282000,data\camera\rear_camera\1772699910213282000.jpg,2000002,2,car,0.591255,993.0,584.0,1016.0,605.0,993.0,584.0,1016.0,605.0,matched,5,VEHICLE_CAR,preprocessed/masks/rear_camera/masks/frame_000000_gt2d_005_track_-1_VEHICLE_CAR.png,0.9000382423400879,1004.5,594.5,54.16523361206055,52.3578987121582,5.3032073974609375,1.0,1.2224265760846906,-1.187390438810224,54.16523361206055,da3_bbox_median,1920.0,1280.0,image_root
rear,0,1772699910213282000,data\camera\rear_camera\1772699910213282000.jpg,3000000,3,motorcycle,0.700298,1348.0,570.0,1444.0,620.0,1348.0,570.0,1444.0,620.0,matched,3,VEHICLE_TRIKE,preprocessed/masks/rear_camera/masks/frame_000000_gt2d_003_track_-1_VEHICLE_TRIKE.png,0.8917677998542786,1396.0,595.0,41.049591064453125,43.30628967285156,8.104454040527344,1.0,9.17498675170643,-0.8893395606592224,41.049591064453125,da3_bbox_median,1920.0,1280.0,image_root
rear,0,1772699910213282000,data\camera\rear_camera\1772699910213282000.jpg,4000000,4,person,0.794589,311.0,494.0,362.0,653.0,311.0,494.0,362.0,653.0,matched,2,PEDESTRIAN_NORMAL,preprocessed/masks/rear_camera/masks/frame_000000_gt2d_002_track_-1_PEDESTRIAN_NORMAL.png,0.9170058369636536,336.5,573.5,18.27033233642578,20.769577026367188,2.9680347442626953,1.0036002397537231,-5.851792097399409,-0.5974416463890898,18.27033233642578,da3_bbox_median,1920.0,1280.0,image_root
rear,0,1772699910213282000,data\camera\rear_camera\1772699910213282000.jpg,5000000,5,truck,0.823065,1006.0,514.0,1107.0,615.0,1006.0,514.0,1107.0,615.0,matched,1,VEHICLE_TRUCK,preprocessed/masks/rear_camera/masks/frame_000000_gt2d_001_track_-1_VEHICLE_TRUCK.png,0.938918948173523,1056.5,564.5,40.15080261230469,41.064361572265625,1.6005744934082031,1.0,1.9777482401433257,-1.4984054176266783,40.15080261230469,da3_bbox_median,1920.0,1280.0,image_root
rear,0,1772699910213282000,data\camera\rear_camera\1772699910213282000.jpg,5000001,5,truck,0.581971,1169.0,557.0,1213.0,603.0,1169.0,557.0,1213.0,603.0,matched,6,VEHICLE_TRUCK_SMALL,preprocessed/masks/rear_camera/masks/frame_000000_gt2d_006_track_-1_VEHICLE_TRUCK_SMALL.png,0.8828859329223633,1191.0,580.0,59.63481903076172,59.27640914916992,1.3308792114257812,1.0,7.054291616222607,-1.7511112439577785,59.63481903076172,da3_bbox_median,1920.0,1280.0,image_root
rear,0,1772699910213282000,data\camera\rear_camera\1772699910213282000.jpg,5000002,5,truck,0.536256,951.0,563.0,987.0,607.0,951.0,563.0,987.0,607.0,matched,7,VEHICLE_TRUCK,preprocessed/masks/rear_camera/masks/frame_000000_gt2d_007_track_-1_VEHICLE_TRUCK.png,0.909468412399292,969.0,585.0,52.68793487548828,53.27960205078125,2.0644569396972656,1.0,0.22907328441540306,-1.4119105011172253,52.68793487548828,da3_bbox_median,1920.0,1280.0,image_root
