view,frame,timestamp,image,track_id,class_id,class_name,score,x1,y1,x2,y2,filtered_x1,filtered_y1,filtered_x2,filtered_y2,association_status,source_detection_index,raw_label,mask_path,mask_score
left_rear,0,1772699910213736000,data\camera\left_rear_camera\1772699910213736000.jpg,-1,2,motorcycle,0.499321,158.0,620.0,203.0,647.0,158.0,620.0,203.0,647.0,unassigned,2,VEHICLE_TRIKE,preprocessed/masks/left_rear_camera/masks/frame_000000_gt2d_002_track_-1_VEHICLE_TRIKE.png,0.871036946773529
left_rear,0,1772699910213736000,data\camera\left_rear_camera\1772699910213736000.jpg,-1,1,car,0.354059,50.0,621.0,86.0,644.0,50.0,621.0,86.0,644.0,unassigned,3,VEHICLE_CAR,preprocessed/masks/left_rear_camera/masks/frame_000000_gt2d_003_track_-1_VEHICLE_CAR.png,0.8437899947166443
left_rear,0,1772699910213736000,data\camera\left_rear_camera\1772699910213736000.jpg,1000000,1,car,0.608519,86.0,619.0,131.0,648.0,86.0,619.0,131.0,648.0,matched,0,VEHICLE_SUV,preprocessed/masks/left_rear_camera/masks/frame_000000_gt2d_000_track_-1_VEHICLE_SUV.png,0.8855171799659729
left_rear,0,1772699910213736000,data\camera\left_rear_camera\1772699910213736000.jpg,4000000,4,truck,0.500915,26.0,603.0,65.0,640.0,26.0,603.0,65.0,640.0,matched,1,VEHICLE_TRUCK_SMALL,preprocessed/masks/left_rear_camera/masks/frame_000000_gt2d_001_track_-1_VEHICLE_TRUCK_SMALL.png,0.8630489110946655
left_rear,1,1772699910313744000,data\camera\left_rear_camera\1772699910313744000.jpg,-1,2,motorcycle,0.382471,164.0,621.0,210.0,647.0,164.0,621.0,210.0,647.0,unassigned,2,VEHICLE_TRIKE,preprocessed/masks/left_rear_camera/masks/frame_000001_gt2d_002_track_-1_VEHICLE_TRIKE.png,0.8469861745834351
left_rear,1,1772699910313744000,data\camera\left_rear_camera\1772699910313744000.jpg,-1,4,truck,0.307578,52.0,620.0,85.0,644.0,52.0,620.0,85.0,644.0,unassigned,3,VEHICLE_TRUCK_SMALL,preprocessed/masks/left_rear_camera/masks/frame_000001_gt2d_003_track_-1_VEHICLE_TRUCK_SMALL.png,0.8073215484619141
left_rear,1,1772699910313744000,data\camera\left_rear_camera\1772699910313744000.jpg,1000000,1,car,0.508074,83.0,618.0,127.0,648.0,81.82360076904297,618.1118774414062,125.9558334350586,647.9796142578125,matched,1,VEHICLE_SUV,preprocessed/masks/left_rear_camera/masks/frame_000001_gt2d_001_track_-1_VEHICLE_SUV.png,0.8896055221557617
left_rear,1,1772699910313744000,data\camera\left_rear_camera\1772699910313744000.jpg,4000000,4,truck,0.585001,27.0,603.0,65.0,640.0,25.294675827026367,602.9796142578125,63.42690658569336,639.9796142578125,matched,0,VEHICLE_TRUCK_SMALL,preprocessed/masks/left_rear_camera/masks/frame_000001_gt2d_000_track_-1_VEHICLE_TRUCK_SMALL.png,0.8572032451629639
left_rear,2,1772699910413751000,data\camera\left_rear_camera\1772699910413751000.jpg,-1,4,truck,0.349189,46.0,617.0,85.0,641.0,46.0,617.0,85.0,641.0,unassigned,2,VEHICLE_TRUCK_SMALL,preprocessed/masks/left_rear_camera/masks/frame_000002_gt2d_002_track_-1_VEHICLE_TRUCK_SMALL.png,0.8283777236938477
left_rear,2,1772699910413751000,data\camera\left_rear_camera\1772699910413751000.jpg,1000000,1,car,0.570914,81.0,617.0,124.0,645.0,77.7876205444336,617.6069946289062,120.98577117919922,646.08447265625,matched,0,VEHICLE_SUV,preprocessed/masks/left_rear_camera/masks/frame_000002_gt2d_000_track_-1_VEHICLE_SUV.png,0.8853302001953125
left_rear,2,1772699910413751000,data\camera\left_rear_camera\1772699910413751000.jpg,4000000,4,truck,0.491391,26.0,600.0,64.0,638.0,22.652746200561523,601.0386352539062,60.636898040771484,638.8181762695312,matched,1,VEHICLE_TRUCK_SMALL,preprocessed/masks/left_rear_camera/masks/frame_000002_gt2d_001_track_-1_VEHICLE_TRUCK_SMALL.png,0.8638723492622375
left_rear,3,1772699910513759000,data\camera\left_rear_camera\1772699910513759000.jpg,-1,4,truck,0.339823,43.0,614.0,84.0,642.0,43.0,614.0,84.0,642.0,unassigned,2,VEHICLE_TRUCK_SMALL,preprocessed/masks/left_rear_camera/masks/frame_000003_gt2d_002_track_-1_VEHICLE_TRUCK_SMALL.png,0.8309671878814697
left_rear,3,1772699910513759000,data\camera\left_rear_camera\1772699910513759000.jpg,1000000,1,car,0.51801,78.0,617.0,121.0,645.0,75.43952178955078,617.1806030273438,118.36898803710938,645.1883544921875,matched,0,VEHICLE_SUV,preprocessed/masks/left_rear_camera/masks/frame_000003_gt2d_000_track_-1_VEHICLE_SUV.png,0.9003165364265442
left_rear,3,1772699910513759000,data\camera\left_rear_camera\1772699910513759000.jpg,4000000,4,truck,0.516272,27.0,601.0,64.0,639.0,23.65329360961914,600.9409790039062,60.83962631225586,638.9659423828125,matched,1,VEHICLE_TRUCK_SMALL,preprocessed/masks/left_rear_camera/masks/frame_000003_gt2d_001_track_-1_VEHICLE_TRUCK_SMALL.png,0.8656081557273865
